"","Game.","Team","FGM","FGA","X3PM","X3PA","FTM","FTA","OREB","TR","AST","TO","STL","BLK","PF","PTS"
"1971",1,"kentucky",19,50,6,18,25,32,5,30,9,10,4,3,20,69
"2425",1,"michiganst",22,56,5,26,13,18,7,30,14,16,4,2,22,62
"1069",2,"duke",23,64,8,24,14,23,11,30,12,16,11,3,17,68
"1925",2,"kansas",23,50,4,9,16,26,10,40,13,28,11,5,20,66
"2163",3,"louisville",34,63,9,19,10,14,10,40,14,13,8,4,17,87
"2382",3,"miamifl",30,69,10,24,4,11,13,35,12,10,6,4,13,74
"1253",4,"florida",29,69,3,15,13,18,19,45,15,10,7,3,16,74
"3024",4,"northflorida",21,57,11,34,6,10,13,36,13,19,3,0,18,59
"1632",5,"holycross",30,67,7,27,4,5,8,33,15,14,3,0,19,71
"2320",5,"maryland",37,76,5,27,16,24,18,47,15,8,8,8,6,95
"74",6,"alabamast",24,49,9,16,7,12,6,25,14,20,3,1,24,64
"1491",6,"gonzaga",34,59,10,20,17,27,11,34,24,8,11,3,17,95
"227",7,"army",20,64,7,30,7,10,6,26,11,17,9,3,16,54
"4755",7,"villanova",36,69,12,30,13,16,14,54,22,17,9,4,14,97
"3725",8,"setonhall",37,60,9,24,22,32,6,36,20,10,14,5,25,105
"4819",8,"wagner",25,61,5,23,16,26,13,37,12,21,4,0,26,71
"1118",9,"easternillinois",23,57,6,16,8,13,6,30,10,15,5,1,20,60
"4283",9,"texastech",32,58,8,14,13,19,8,40,15,13,7,5,16,85
"2354",10,"memphis",36,66,6,20,19,21,12,42,21,13,8,10,21,97
"3824",10,"southcarolinast",21,58,8,25,14,18,7,25,9,18,2,1,20,64
"1350",11,"fresnost",19,55,9,36,10,14,9,31,14,17,5,7,19,57
"3196",11,"oregon",25,60,1,13,20,27,16,45,11,13,8,2,13,71
"288",12,"baylor",40,71,18,33,7,14,13,51,25,14,6,2,20,105
"610",12,"centralarkansas",22,61,4,23,13,24,8,30,11,15,5,6,19,61
"2540",13,"montanast",24,57,9,19,16,26,9,36,13,15,6,3,31,73
